# Time  Perpendicularity_Metric
0.633735 0.212275
0.633758 0.212275
0.63378 0.212275
0.633803 0.212275
0.633825 0.212275
0.633848 0.212275
0.63387 0.212275
0.633893 0.212275
0.633915 0.212275
0.633938 0.212275
0.63396 0.212275
0.633983 0.212275
0.634005 0.212275
0.634028 0.212275
0.63405 0.212275
0.634073 0.212275
0.634095 0.212275
0.634118 0.212275
0.63414 0.212275
0.634163 0.212275
0.634185 0.212275
0.634208 0.212275
0.63423 0.212275
0.634253 0.212275
0.634275 0.212275
0.634298 0.212275
0.63432 0.212275
0.634343 0.212275
0.634365 0.212275
0.634388 0.212275
0.63441 0.212275
0.634433 0.212275
0.634455 0.212275
0.634478 0.212275
0.6345 0.212275
0.634523 0.212275
0.634545 0.212275
0.634568 0.212275
0.63459 0.212275
0.634613 0.212275
0.634635 0.212275
0.634658 0.212275
0.63468 0.212275
0.634703 0.212275
0.634725 0.212275
0.634748 0.212275
0.63477 0.212275
0.634793 0.212275
0.634815 0.212275
0.634838 0.212275
0.63486 0.212275
0.634883 0.212275
0.634905 0.212275
0.634928 0.212275
0.63495 0.212275
0.634973 0.212275
0.634995 0.212275
0.635018 0.212275
0.63504 0.212275
0.635063 0.212275
0.635085 0.212275
0.635108 0.212275
0.63513 0.212275
0.635153 0.212275
0.635175 0.212275
0.635198 0.212275
0.63522 0.212275
0.635243 0.212275
0.635265 0.212275
0.635288 0.212275
0.63531 0.212275
0.635333 0.212275
0.635355 0.212275
0.635378 0.212275
0.6354 0.212275
0.635423 0.212275
0.635445 0.212275
0.635468 0.212275
0.63549 0.212275
0.635513 0.212275
0.635535 0.212275
0.635558 0.212275
0.63558 0.212275
0.635603 0.212275
0.635625 0.212275
0.635648 0.212275
0.63567 0.212275
0.635693 0.212275
0.635715 0.212275
0.635738 0.212275
0.63576 0.212275
0.635783 0.212275
0.635805 0.212275
0.635828 0.212275
0.63585 0.212275
0.635873 0.212275
0.635895 0.212275
0.635918 0.212275
0.63594 0.212275
0.635963 0.212275
0.635985 0.212275
0.636008 0.212275
0.63603 0.212275
0.636053 0.212275
0.636075 0.212275
0.636098 0.212275
0.63612 0.212275
0.636143 0.212275
0.636165 0.212275
0.636188 0.212275
0.63621 0.212275
0.636233 0.212275
0.636255 0.212275
0.636278 0.212275
0.6363 0.212275
0.636323 0.212275
0.636345 0.212275
0.636368 0.212275
0.63639 0.212275
0.636413 0.212275
0.636435 0.212275
0.636458 0.212275
0.63648 0.212275
0.636503 0.212275
0.636525 0.212275
0.636548 0.212275
0.63657 0.212275
0.636593 0.212275
0.636615 0.212275
0.636638 0.212275
0.63666 0.212275
0.636683 0.212275
0.636705 0.212275
0.636728 0.212275
0.63675 0.212275
0.636773 0.212275
0.636795 0.212275
0.636818 0.212275
0.63684 0.212275
0.636863 0.212275
0.636885 0.212275
0.636908 0.212275
0.63693 0.212275
0.636953 0.212275
0.636975 0.212275
0.636998 0.212275
0.63702 0.212275
0.637043 0.212275
0.637065 0.212275
0.637088 0.212275
0.63711 0.212275
0.637133 0.212275
0.637155 0.212275
0.637178 0.212275
0.6372 0.212275
0.637223 0.212275
0.637245 0.212275
0.637268 0.212275
0.63729 0.212275
0.637313 0.212275
0.637335 0.212275
0.637358 0.212275
0.63738 0.212275
0.637403 0.212275
0.637425 0.212275
0.637448 0.212275
0.63747 0.212275
0.637493 0.212275
0.637515 0.212275
0.637538 0.212275
0.63756 0.212275
0.637583 0.212275
0.637605 0.212275
0.637628 0.212275
0.63765 0.212275
0.637673 0.212275
0.637695 0.212275
0.637718 0.212275
0.63774 0.212275
0.637763 0.212275
0.637785 0.212275
0.637808 0.212275
0.63783 0.212275
0.637853 0.212275
0.637875 0.212275
0.637898 0.212275
0.63792 0.212275
0.637943 0.212275
0.637965 0.212275
0.637988 0.212275
0.63801 0.212275
0.638033 0.212275
0.638055 0.212275
0.638078 0.212275
0.6381 0.212275
0.638123 0.212275
0.638145 0.212275
0.638168 0.212275
0.63819 0.212275
0.638213 0.212275
0.638235 0.212275
0.638258 0.212275
0.63828 0.212275
0.638303 0.212275
0.638325 0.212275
0.638348 0.212275
0.63837 0.212275
0.638393 0.212275
0.638415 0.212275
0.638438 0.212275
0.63846 0.212275
0.638483 0.212275
0.638505 0.212275
0.638528 0.212275
0.63855 0.212275
0.638573 0.212275
